统计日期,班次,SKU,总检数,OK数,NG数,管内异物,管盖有无,管口圆度,正面工号缺失,背面工号缺失,P-Code,色标对中,爆管,斜口,未剪断,混合缺陷,连续爆管剔除,良率%
2026-06-05,早班,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2026-06-05,早班,61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2026-06-05,早班,610,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2026-06-05,早班,61029587,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2026-06-05,早班,61042673,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2026-06-05,早班,6106,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2026-06-05,早班,61063,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2026-06-05,早班,610636,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2026-06-05,早班,6106367,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2026-06-05,早班,61063670,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2026-06-04,中班,61042673,113420,113215,205,17,0,0,2,8,0,0,0,46,4,107,30,99.85
2026-06-04,夜班,61029587,60693,60436,257,3,0,3,17,4,0,0,1,2,63,40,123,99.78
2026-06-04,夜班,61042673,22482,22378,104,3,0,0,18,21,0,0,0,0,1,46,15,99.6
2026-06-04,早班,61042673,49546,49391,155,1,1,2,3,6,0,0,18,9,2,99,12,99.71
2026-06-04,早班,61058207,417,379,38,0,0,0,4,3,0,0,0,0,0,22,9,92.89
2026-06-03,中班,61042932,65092,64798,294,0,0,0,88,6,0,0,0,85,4,96,15,99.57
2026-06-03,夜班,61042932,14265,14224,41,0,0,0,8,0,0,0,0,1,0,23,9,99.78
2026-06-03,夜班,61058207,71118,70820,298,0,0,0,0,8,0,0,1,23,54,155,57,99.66
2026-06-03,早班,61048201,3653,3238,415,251,0,0,4,79,0,36,3,11,5,14,12,88.93
