检测时间,检测日期,班次,SKU,流水号,结果,缺陷详情,缺陷数
2026/5/28 15:36:13,2026-05-28,早班,11111119,66,NG,正面工号缺失NG,1
2026/5/28 15:36:13,2026-05-28,早班,11111119,65,NG,正面工号缺失NG,1
2026/5/28 15:36:12,2026-05-28,早班,11111119,64,NG,正面工号缺失NG,1
2026/5/28 15:36:12,2026-05-28,早班,11111119,63,NG,正面工号缺失NG,1
2026/5/28 15:36:12,2026-05-28,早班,11111119,62,NG,正面工号缺失NG,1
2026/5/28 15:36:12,2026-05-28,早班,11111119,61,NG,正面工号缺失NG,1
2026/5/28 15:36:12,2026-05-28,早班,11111119,60,NG,正面工号缺失NG,1
2026/5/28 15:34:47,2026-05-28,早班,11111119,59,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG,爆管NG]",3
2026/5/28 15:34:47,2026-05-28,早班,11111119,58,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG,斜口NG]",3
2026/5/28 15:34:47,2026-05-28,早班,11111119,57,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG,爆管NG]",3
2026/5/28 15:34:46,2026-05-28,早班,11111119,56,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG,爆管NG]",3
2026/5/28 15:34:46,2026-05-28,早班,11111119,55,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG,斜口NG]",3
2026/5/28 15:34:46,2026-05-28,早班,11111119,54,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG,爆管NG]",3
2026/5/28 15:34:46,2026-05-28,早班,11111119,53,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG,爆管NG]",3
2026/5/28 15:34:46,2026-05-28,早班,11111119,52,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG,斜口NG]",3
2026/5/28 15:34:46,2026-05-28,早班,11111119,51,NG,"混合缺陷[背面工号缺失NG,爆管NG]",2
2026/5/28 15:34:45,2026-05-28,早班,11111119,50,NG,"混合缺陷[背面工号缺失NG,爆管NG]",2
2026/5/28 15:34:45,2026-05-28,早班,11111119,49,NG,"混合缺陷[背面工号缺失NG,斜口NG]",2
2026/5/28 15:34:45,2026-05-28,早班,11111119,48,NG,"混合缺陷[背面工号缺失NG,爆管NG]",2
2026/5/28 15:34:45,2026-05-28,早班,11111119,47,NG,"混合缺陷[背面工号缺失NG,爆管NG]",2
2026/5/28 15:34:44,2026-05-28,早班,11111119,46,NG,"混合缺陷[背面工号缺失NG,斜口NG]",2
2026/5/28 15:34:44,2026-05-28,早班,11111119,45,NG,"混合缺陷[背面工号缺失NG,爆管NG]",2
2026/5/28 15:28:53,2026-05-28,早班,11111119,13,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG]",2
2026/5/28 15:28:53,2026-05-28,早班,11111119,12,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG]",2
2026/5/28 15:28:52,2026-05-28,早班,11111119,11,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG]",2
2026/5/28 15:28:52,2026-05-28,早班,11111119,10,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG]",2
2026/5/28 15:28:52,2026-05-28,早班,11111119,9,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG]",2
2026/5/28 15:28:52,2026-05-28,早班,11111119,8,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG]",2
2026/5/28 15:28:52,2026-05-28,早班,11111119,7,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG]",2
2026/5/28 15:28:51,2026-05-28,早班,11111119,6,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG]",2
2026/5/28 15:28:51,2026-05-28,早班,11111119,5,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG]",2
2026/5/28 15:28:51,2026-05-28,早班,11111119,4,NG,"混合缺陷[正面工号缺失NG,背面工号缺失NG]",2
2026/5/28 15:14:39,2026-05-28,早班,11111112,1696,NG,正面工号缺失NG,1
2026/5/28 15:14:39,2026-05-28,早班,11111112,1695,NG,正面工号缺失NG,1
2026/5/28 15:14:39,2026-05-28,早班,11111112,1694,NG,正面工号缺失NG,1
2026/5/28 15:14:39,2026-05-28,早班,11111112,1693,NG,正面工号缺失NG,1
2026/5/28 15:14:39,2026-05-28,早班,11111112,1692,NG,正面工号缺失NG,1
2026/5/28 15:14:38,2026-05-28,早班,11111112,1691,NG,正面工号缺失NG,1
2026/5/28 15:14:38,2026-05-28,早班,11111112,1690,NG,正面工号缺失NG,1
2026/5/28 15:14:38,2026-05-28,早班,11111112,1689,NG,正面工号缺失NG,1
2026/5/28 15:14:38,2026-05-28,早班,11111112,1688,NG,正面工号缺失NG,1
2026/5/28 15:14:38,2026-05-28,早班,11111112,1687,NG,正面工号缺失NG,1
2026/5/28 15:14:37,2026-05-28,早班,11111112,1686,NG,正面工号缺失NG,1
2026/5/28 15:14:37,2026-05-28,早班,11111112,1685,NG,正面工号缺失NG,1
2026/5/28 15:14:37,2026-05-28,早班,11111112,1684,NG,正面工号缺失NG,1
2026/5/28 15:14:37,2026-05-28,早班,11111112,1683,NG,正面工号缺失NG,1
2026/5/28 15:14:36,2026-05-28,早班,11111112,1682,NG,正面工号缺失NG,1
2026/5/28 15:06:14,2026-05-28,早班,11111112,816,NG,"混合缺陷[背面工号缺失NG,爆管NG]",2
2026/5/28 15:06:14,2026-05-28,早班,11111112,815,NG,"混合缺陷[背面工号缺失NG,斜口NG]",2
2026/5/28 15:06:14,2026-05-28,早班,11111112,814,NG,"混合缺陷[背面工号缺失NG,爆管NG]",2
2026/5/28 15:06:13,2026-05-28,早班,11111112,813,NG,"混合缺陷[背面工号缺失NG,爆管NG]",2
2026/5/28 15:06:13,2026-05-28,早班,11111112,812,NG,"混合缺陷[背面工号缺失NG,斜口NG]",2
2026/5/28 15:06:13,2026-05-28,早班,11111112,811,NG,"混合缺陷[背面工号缺失NG,爆管NG]",2
2026/5/28 15:06:13,2026-05-28,早班,11111112,810,NG,"混合缺陷[背面工号缺失NG,爆管NG]",2
2026/5/28 15:06:13,2026-05-28,早班,11111112,809,NG,"混合缺陷[背面工号缺失NG,斜口NG]",2
2026/5/28 15:06:13,2026-05-28,早班,11111112,808,NG,"混合缺陷[背面工号缺失NG,爆管NG]",2
2026/5/28 15:06:12,2026-05-28,早班,11111112,807,NG,"混合缺陷[背面工号缺失NG,爆管NG]",2
2026/5/28 15:06:12,2026-05-28,早班,11111112,806,NG,"混合缺陷[背面工号缺失NG,斜口NG]",2
2026/5/28 15:06:12,2026-05-28,早班,11111112,805,NG,"混合缺陷[背面工号缺失NG,爆管NG]",2
2026/5/28 15:06:12,2026-05-28,早班,11111112,804,NG,"混合缺陷[背面工号缺失NG,爆管NG]",2
2026/5/28 15:06:12,2026-05-28,早班,11111112,803,NG,"混合缺陷[背面工号缺失NG,斜口NG]",2
2026/5/28 15:06:11,2026-05-28,早班,11111112,802,NG,"混合缺陷[背面工号缺失NG,爆管NG]",2
