统计日期,班次,SKU,总检数,OK数,NG数,管内异物,管盖有无,管口圆度,正面工号缺失,背面工号缺失,P-Code,色标对中,爆管,斜口,未剪断,混合缺陷,连续爆管剔除,良率%
2026-05-28,早班,11111112,21891,21013,878,0,0,0,15,0,0,0,0,0,0,863,0,95.99
2026-05-28,早班,11111119,5102,5070,32,0,0,0,7,0,0,0,0,0,0,25,0,99.37
2026-05-27,中班,11111111,36987,35621,1366,150,0,0,0,11,0,0,57,22,1044,73,9,96.33
2026-05-27,早班,11111111,11854,10930,924,49,0,0,1,0,0,0,131,90,608,39,6,92.25
2026-05-27,早班,CN05367A,6341,6282,59,0,0,0,39,0,0,0,0,1,0,10,9,99.21
2026-05-26,中班,12345678,14676,5536,9140,0,0,0,0,0,0,0,4629,4429,27,47,12,37.75
2026-05-26,中班,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2026-05-26,中班,61,7,6,1,0,0,0,0,0,0,0,1,0,0,0,0,85.71
2026-05-26,中班,610,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2026-05-26,中班,61049872,21,0,21,0,0,0,0,0,0,0,14,7,0,0,0,0
2026-05-26,中班,6105,3,1,2,0,0,0,0,0,0,0,2,0,0,0,0,33.33
2026-05-26,中班,61053,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2026-05-26,中班,610532,7,6,1,0,0,0,0,0,0,0,1,0,0,0,0,85.71
2026-05-26,中班,61053235,20188,20109,79,1,0,0,23,0,0,0,6,4,3,9,60,99.91
2026-05-26,中班,6105326,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2026-05-26,中班,61053268,8849,8843,6,0,0,0,3,2,0,0,0,0,0,1,0,99.93
2026-05-26,中班,88888888,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,75
2026-05-26,中班,CN05367A,25883,25054,829,0,0,0,733,11,0,0,0,44,13,10,18,96.86
2026-05-26,早班,61049872,18534,11133,7401,0,0,0,146,3,0,0,4868,2273,91,20,0,60.07
2026-05-25,中班,61049870,3019,2402,617,0,0,0,0,0,0,0,0,0,0,0,1244,135.32
2026-05-25,夜班,6,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0
2026-05-25,夜班,61,3,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0
2026-05-25,夜班,610,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0
2026-05-25,夜班,6104,24,0,24,0,0,0,0,0,0,0,8,8,0,8,0,0
2026-05-25,夜班,61049,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2026-05-25,夜班,610498,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0
2026-05-25,夜班,6104987,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2026-05-25,夜班,61049870,146,0,146,0,0,0,0,0,0,0,0,0,0,1,145,0
2026-05-25,夜班,61049871,160,0,160,0,0,0,0,0,0,0,53,54,0,53,0,0
2026-05-25,夜班,61049872,41,0,41,0,0,0,0,0,0,0,14,13,0,14,0,0
2026-05-24,中班,61053688,15,9,6,0,0,0,0,0,0,0,0,1,0,2,3,75
2026-05-24,中班,61053689,8,2,6,0,0,0,0,0,0,0,0,0,0,0,6,100
2026-05-23,中班,61053688,31233,30768,465,0,0,450,3,3,0,0,1,0,0,8,0,98.51
2026-05-23,早班,61053687,25387,25302,85,1,0,0,14,0,0,68,2,0,0,0,0,99.67
2026-05-23,早班,61053688,88770,88753,17,0,0,0,14,1,0,0,0,2,0,0,0,99.98
2026-05-22,中班,61057122,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2026-05-22,夜班,61053687,33115,32797,318,0,0,0,301,7,0,0,2,0,1,7,0,99.04
